user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
teki1980,1分,不佳,景色1,趣味1,性价比1,携程上订过那么多次人工讲解，没有一次像这次那么糟糕的。导游姓刘吧，大量时间用在讲解与天坛景物毫不相关的野史，而且错漏百出。什么英国总统，羊头上的触角…从9点进大门人还不多时，就将队伍拉到边上大树下，所有人站着听了20分钟园林种类和松柏，也便罢了，走到七星石又是如法炮制、站边上听了15分钟，你顺便说说泰山封禅，也就算了，竟然从五岳开始科普，一座座山点过去，最后才说这七块石头是从泰山来的；到了祈年殿，别的团都是拉在近处一一介绍建筑的特征，咱们团是在远处找了个角落，皇后求雨四个字展开说了20分钟，祈年殿里有些什么呢是给大家20分钟自己去看的。回来集合又浪费时间等其他人，到点了也不打电话；祈年殿区域没有厕所，事先也没有任何提醒。从里面出来，前往回音壁的路上，站在一片草坪边上，又开始科普祭祀的牲口，从牛说到羊，说到羊头上的“触角”时我们实在听不下去了。这2个小时如果是这样拼凑，那我还是自己看比较好。讲解不是无关信息的罗列，讲一个天坛也不需要从世界园林以及祭祀动物种类讲起的。看看其他团有没有人站在草坪边就知道这里是不是应该讲解的点了。至少也是先讲近的再补充远的。最后提前退团了，花了钱还浪费时间！,IP属地:江苏,,,,,天坛公园差评
M52****5940,1分,不佳,景色1,趣味1,性价比1,骗人.我自己买门票进去的不给我退钱,IP属地:北京,,,,,天坛公园差评
M31****8353,1分,不佳,景色5,趣味3,性价比1,"订票别在携程，贵。贵贵差差差极差
退单费劲，这次携程买票极其让人不满意",IP属地:辽宁,,,,,天坛公园差评
M42****568,1分,不佳,景色4,趣味1,性价比1,"坏的:本来门票就二十几元，但是为了深入了解，特地花了108元买的讲解，带蓝牙耳机的，不想吵的要死听不见解说，结果讲解员说没耳机，那我还不如买88元的呢，特地选个贵的 讲解基本和几十人的大旅行团的导游一样，粗略的讲几句就没有了，全程自己看自己玩，他就不停的接打电话安排任务，真是很失望，还不如不请，或者租电子讲解才20元.
好的:北京天真蓝，景色真好看",IP属地:北京,,,,,天坛公园差评
M32****2497,2分,一般,景色5,趣味4,性价比2,导游一般吧，问问题不回答这点不太好，要好评就给好评了，改进还好,IP属地:北京,,,,,天坛公园差评
_WeCh****838259,2分,一般,景色2,趣味1,性价比3,走马观花游,IP属地:北京,,,,,天坛公园差评
D20****24,1分,不佳,景色5,趣味1,性价比1,太坑了！景区是自己进去，比门票贵好多，人工讲解形同虚设，也没人理，要求退款也不给退。建议自己网上订个门票自己去就可以了，景区有电子讲解的，这个真不划算,IP属地:云南,,,,,天坛公园差评
酿酒就是车夫命…就差没去开差头,2分,一般,景色4,趣味2,性价比2,说实话，导游非常一般……非常失望，第一，讲解声音非常轻，春节旅游旺季本身景点就很嘈杂，也没有配发讲解收听用的耳机。第二，讲解团是拼团，不同游客购买的门票也不一样，部分游客必须另行购买园内景点门票，而导游也完全不等待这部分游客，只是自行带已购票团队进入园内景点。总体来说感受非常差…,IP属地:北京,,,,,天坛公园差评
普雷布尔康里脱脱,1分,不佳,景色1,趣味1,性价比1,第一次评论，你千万不要不认识路，因为你走错了或者没有在约定地点集合，即使提前到，导游是不会等你且不让你去找他的，你只能去他指定的地方等，得等一个小时，随之到了指定地方你不知道哪个是他，他到了会在大庭广众之下扯着嗓子喊你的名字“马冬梅，马冬梅”然后继续他的讲解之路，你在懵懵的状态里跟着10米的距离，用放大镜才能听到的声音然后云里雾里的跟着，然后影响着你的行程和一整天的心情，不要找客服，不会管你的奥。,IP属地:北京,,,,,天坛公园差评
Jennifer,1分,不佳,景色5,趣味1,性价比1,讲得很一般，基本和历史相关的很少，扯闲篇。但是实事求是，导游北京人很热情，人本身不错。,IP属地:北京,,,,,天坛公园差评
